Protocole,Latence (s),Taille (octets),Débit (o/s)
HTTP,3.938994884490967,102372,25989.37114721068
HTTP,3.2795586585998535,82289,25091.485948640344
HTTP,3.270570755004883,81848,25025.601380049582
HTTP,3.2365968227386475,82050,25350.701521907
HTTP,1.7502353191375732,82124,46921.690530429085
HTTP,1.2653648853302002,82095,64878.5191937558
HTTP,1.6432909965515137,82135,49982.017897233236
HTTP,3.23970890045166,81910,25283.135774507584
HTTP,3.259317636489868,82019,25164.469728802072
HTTP,3.434054374694824,82008,23880.80998492863
HTTP,1.235276699066162,81943,66335.74490796016
HTTP,3.26438045501709,82067,25140.145620547883
HTTP,3.2857918739318848,81978,24949.23694053162
HTTP,3.3855128288269043,82128,24258.658629409987
HTTP,2.688811779022217,82184,30565.174044977633
HTTP,1.8825607299804688,104851,55695.94559697833
HTTP,3.300853967666626,81840,24793.58396392577
HTTP,3.376371383666992,82323,24382.092680394377
HTTP,1.3290834426879883,81947,61656.77591639191
HTTP,3.277264356613159,82063,25040.09169550387
HTTP,1.2601730823516846,81988,65060.904052161844
HTTP,3.250563144683838,81988,25222.706451369202
HTTP,1.2576119899749756,82179,65345.27394386183
HTTP,3.247974157333374,82109,25280.06567250907
HTTP,1.2642922401428223,82074,64916.95305408852
HTTP,3.350260019302368,82051,24490.934890804583
HTTP,3.2739861011505127,81818,24990.332112664837
HTTP,1.255521535873413,82003,65313.893594787274
HTTP,1.2650339603424072,82753,65415.63514832536
HTTP,3.3079354763031006,82150,24834.220796776124
HTTPS,3.5124268531799316,81843,23300.983457037535
HTTPS,1.6149816513061523,81991,50768.99786055647
HTTPS,1.6319711208343506,82198,50367.31284679597
HTTPS,1.754535436630249,81838,46643.686010228215
HTTPS,1.5190420150756836,82139,54072.89540698291
HTTPS,3.5177159309387207,82074,23331.616768184613
HTTPS,1.6353404521942139,81913,50089.26422023833
HTTPS,1.7587521076202393,82162,46716.07763482546
HTTPS,3.6472840309143066,81856,22443.001232201874
HTTPS,1.4919054508209229,81987,54954.55489815829
HTTPS,3.526329517364502,82046,23266.68554256929
HTTPS,1.499513864517212,81979,54670.384809275645
HTTPS,3.5253448486328125,81930,23240.279608893812
HTTPS,1.6225321292877197,81996,50535.82515866461
HTTPS,3.4940624237060547,82013,23472.10497544892
HTTPS,1.4944963455200195,82194,54997.79256495945
HTTPS,3.75754714012146,102388,27248.626878621246
HTTPS,3.569667339324951,82026,22978.611787257378
HTTPS,1.637765645980835,81940,50031.57820600595
HTTPS,1.9274966716766357,82048,42567.12927479684
HTTPS,1.630803108215332,82058,50317.539613841
HTTPS,1.6424410343170166,81903,49866.63039264486
HTTPS,1.5304906368255615,82043,53605.68567094795
HTTPS,1.5312304496765137,82664,53985.34232222427
HTTPS,1.4924046993255615,82032,54966.32383767714
HTTPS,3.532888650894165,81970,23201.976654218524
HTTPS,1.5296247005462646,82242,53766.1296726115
HTTPS,1.8830671310424805,82154,43627.759544886176
HTTPS,3.470407247543335,82066,23647.368780160792
HTTPS,1.4848706722259521,81983,55212.215806714165
